Row	Hour	Genotype	Condition	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
C	24	G130	AMP	8.97E+04	2.37E+06	5.13E+06	5.16E+04	5.14E+06	7.07E+06	1.04E+07	5.06E+04	1.67E+05	6.10E+06	3.79E+05	2.77E+06
D	24	G130	AMP	5.86E+05	4.49E+06	1.50E+05	4.28E+05	3.44E+04	6.44E+06	9.51E+05	6.40E+06	3.36E+07	2.84E+05	8.86E+04	1.71E+04
E	24	EMPTY	NONE	-3.20E+03	-2.39E+03	-2.81E+03	-2.33E+03	-2.62E+03	-1.99E+03	-2.24E+03	-1.17E+03	1.01E+04	-1.14E+03	-4.07E+03	-3.41E+03
F	24	G090	STANDARD	-3.09E+03	1.01E+03	6.09E+03	-1.02E+03	5.42E+03	8.49E+03	2.20E+04	1.18E+04	6.24E+03	1.81E+02	-7.08E+02	5.69E+03
G	24	G090	STANDARD	-4.41E+03	1.03E+03	5.44E+03	2.38E+03	9.25E+02	4.87E+03	4.70E+03	-1.90E+03	-1.75E+03	2.06E+03	4.55E+03	4.17E+03
H	24	G090	STANDARD	8.41E+03	2.74E+04	4.15E+03	8.56E+03	-2.18E+03	1.23E+04	3.87E+03	1.52E+04	8.75E+03	4.71E+04	6.35E+03	-1.31E+03
A	30	G130	STANDARD	1.57E+05	6.52E+06	1.79E+07	2.28E+06	1.10E+07	3.85E+05	1.06E+07	2.61E+05	1.45E+05	6.25E+06	3.96E+05	5.41E+04
B	30	G130	STANDARD	6.04E+06	1.66E+07	1.09E+07	5.63E+04	2.08E+06	1.81E+07	4.77E+06	5.96E+06	4.72E+04	5.55E+06	6.14E+04	1.38E+07
C	30	G130	STANDARD	4.72E+04	6.06E+04	4.47E+05	6.31E+04	2.20E+06	1.84E+07	2.19E+06	5.56E+04	9.22E+06	1.96E+05	7.02E+06	1.94E+07
D	30	G130	STANDARD	1.13E+07	6.53E+06	9.81E+06	5.38E+06	3.93E+04	5.16E+04	6.35E+06	5.28E+06	6.15E+06	2.94E+06	4.15E+06	1.90E+05
