,uid,log10_load_initial,log10_load_20h,log10_load_max_20h,auc_20h,log10_auc_cfu_20h,log10_load_max_until_death,auc_cfu_until_death,log10_auc_cfu_until_death,upper_TTD
31,G_Fly08,3.828574326328672,5.209993340539337,5.387332184246002,1434457.8437892846,6.1566877896132395,5.775350653276489,4784462.984819378,6.679833198995248,32.0
32,G_Fly09,4.006377641896986,5.254469367170337,5.29182145488896,1257667.9965790582,6.099566009723295,5.7263353487000686,3418585.478031283,6.533846443435472,28.0
33,G_Fly10,3.9106702171033763,4.973295590596326,4.974571276494851,596098.4205238068,5.7753179710851335,5.767670007042988,2642984.5079960288,6.422094617497372,28.0
34,G_Fly11,3.874616570862104,5.355204156276905,5.46794766209841,1405315.599614568,6.147773867144602,5.811221512632975,4828165.593402777,6.683782156841174,32.0
35,G_Fly12,4.04667333290927,5.197891642981142,5.197891642981142,762347.5868037093,5.88215302988577,5.751888791373299,3366476.7607953306,6.52717562082589,32.0
36,H_Fly01,3.685432709403274,4.723295614579738,4.727065638484735,264635.74505838344,5.42264850513167,5.263949328707543,1667654.7266105013,6.222106138717972,32.0
37,H_Fly02,3.757074787924814,5.331472472331745,5.331472472331745,1265181.4667295734,6.102152821438413,5.815733605230744,4646599.0294975545,6.667135197378819,32.0
38,H_Fly03,3.7654934926730084,5.485537413804246,5.485537413804246,1293970.5516814252,6.111924392725427,6.010035569535562,6278405.1822750345,6.797849339836141,32.0
39,H_Fly04,3.9053912200306957,4.299468093049933,4.299468093049933,190039.38853047037,5.2788436243662495,5.730327636082852,2276509.0645675873,6.357269383914512,32.0
40,H_Fly05,3.9335068620472544,4.934414723392314,4.934414723392314,413449.3267813947,5.616422289105533,5.870665872480646,3922207.068864512,6.593530518064896,32.0
41,H_Fly06,3.7717924379046552,5.690015183469687,5.690015183469687,2635102.9971476784,6.420797594963626,5.821207859826102,4362367.75197096,6.639722274245785,24.0
42,H_Fly07,3.8447503114434616,5.539399531679699,5.564853475740637,2202709.1677521677,6.34295715934849,5.968167133171741,6521094.476061091,6.814320492207886,28.0
43,H_Fly08,3.8525053699947343,5.449046082669253,5.449046082669253,1186897.224269938,6.074413114182143,6.024782538191698,5318713.6480886685,6.725806609158214,28.0
44,H_Fly09,3.6195001428312565,4.697825064078292,4.697825064078292,202085.99079450069,5.305536207965952,5.434567393674911,2130878.8336463305,6.328558755497937,32.0
45,H_Fly10,3.8785185817674384,5.373659423867872,5.373659423867872,1041223.5015905997,6.017543962064863,6.182917294136126,9238054.666367501,6.9655805278641445,32.0
46,H_Fly11,3.890705851093152,5.164660552403368,5.164660552403368,713606.0815278363,5.853458542549017,5.685907821543132,3971248.8670566073,6.5989271039369015,32.0
47,H_Fly12,3.9670271731544746,5.265690437476704,5.265690437476704,728478.7259804087,5.862416873437207,5.89360208384242,5052607.039357737,6.703515522802879,32.0
